,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,58.53332964735513,1756,92.5999941687657,2778.0,Blue3,trial,1,,,,False,,0.17692695214105794,0.2798992443324937,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5248,#f3db79,5241
1,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,77.99999508816117,2340,92.5999941687657,2778.0,Blue3,misc,lateral_approach,,,,False,,0.23576826196473552,0.2798992443324937,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5264,#f38979,5246
2,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,78.73332837531483,2362,92.5999941687657,2778.0,Blue3,time_away,walk_away,,,,False,,0.23798488664987405,0.2798992443324937,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5257,#8f79f3,5243
3,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,118.76665918765737,3563,151.9999904282115,4560.0,Blue3,trial,2,,,,False,,0.358992443324937,0.45944584382871534,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5249,#f37982,5241
4,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,132.4333249937027,3973,,,Blue3,look_away,look_away,,,,True,,0.4003022670025189,0.4003022670025189,3,1576,0,1139,LOOPY_scoring_event_nonsocial,Nonsocial Event,5261,#f2f379,5245
5,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,146.09999079974804,4383,151.76665710957172,4553.0,Blue3,time_away,walk_away,,,,False,,0.44161209068010077,0.45874055415617127,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5257,#8f79f3,5243
6,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,189.8999880415616,5697,222.36665266372785,6671.0,Blue3,trial,3,,,,False,,0.5740050377833753,0.6721410579345088,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5250,#79a5f3,5241
7,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,199.8333207493702,5995,,,Blue3,look_away,look_away,,,,True,,0.6040302267002519,0.6040302267002519,3,1576,0,1139,LOOPY_scoring_event_nonsocial,Nonsocial Event,5261,#f2f379,5245
8,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,200.86665401763213,6026,207.53332026448354,6226.0,Blue3,time_away,walk_away,,,,False,,0.607153652392947,0.6273047858942066,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5257,#8f79f3,5243
9,UnwillingUnable_2021-05-25_MS_Cappuccina_clumsy_14-06-53,214.4333198299747,6433,222.36665266372785,6671.0,Blue3,time_away,walk_away,,,,False,,0.6481612090680101,0.6721410579345088,3,1576,0,1139,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5257,#8f79f3,5243
