date,subject,condition,Start,Start_Frame,Stop,Stop_Frame,duration,subject2,Behaviour,Value,trial
25/05/2021,Cappuccina,clumsy,58.53332965,1756,92.59999417,2778,34.06666452,Blue3,trial,1,1
25/05/2021,Cappuccina,clumsy,77.99999509,2340,92.59999417,2778,14.59999908,Blue3,misc,lateral_approach,1
25/05/2021,Cappuccina,clumsy,78.73332838,2362,92.59999417,2778,13.86666579,Blue3,time_away,walk_away,1
25/05/2021,Cappuccina,clumsy,118.7666592,3563,151.9999904,4560,33.23333124,Blue3,trial,2,2
25/05/2021,Cappuccina,clumsy,132.433325,3973,,,,Blue3,look_away,look_away,2
25/05/2021,Cappuccina,clumsy,146.0999908,4383,151.7666571,4553,5.66666631,Blue3,time_away,walk_away,2
25/05/2021,Cappuccina,clumsy,189.899988,5697,222.3666527,6671,32.46666462,Blue3,trial,3,3
25/05/2021,Cappuccina,clumsy,199.8333207,5995,,,,Blue3,look_away,look_away,3
25/05/2021,Cappuccina,clumsy,200.866654,6026,207.5333203,6226,6.666666247,Blue3,time_away,walk_away,3
25/05/2021,Cappuccina,clumsy,214.4333198,6433,222.3666527,6671,7.933332834,Blue3,time_away,walk_away,3
25/05/2021,Cappuccina,clumsy,215.3333198,6460,222.3666527,6671,7.03333289,Blue3,misc,lateral_approach,3
25/05/2021,Cappuccina,clumsy,250.7999842,7524,285.1666487,8555,34.3666645,Blue3,trial,4,4
25/05/2021,Cappuccina,clumsy,259.2999837,7779,,,,Blue3,look_away,look_away,4
25/05/2021,Cappuccina,clumsy,259.4666503,7784,284.0666488,8522,24.59999845,Blue3,time_away,walk_away,4
25/05/2021,Cappuccina,clumsy,274.2333161,8227,,,,Blue3,look_away,look_away,4
04/05/2021,Blue3,clumsy,47.13321485,1414,83.43312361,2503,36.29990875,Blue3,trial,1,1
04/05/2021,Blue3,clumsy,107.6997293,3231,141.8329768,4255,34.13324753,Blue3,trial,2,2
04/05/2021,Blue3,clumsy,122.0996931,3663,141.8329768,4255,19.73328373,Blue3,sitting_laying_down,sitting_down,2
04/05/2021,Blue3,clumsy,122.7996913,3684,141.8329768,4255,19.03328549,Blue3,time_away,walk_away,2
04/05/2021,Blue3,clumsy,165.0662517,4952,196.6661723,5900,31.59992057,Blue3,trial,3,3
04/05/2021,Blue3,clumsy,217.199454,6516,248.1327096,7444,30.93325558,Blue3,trial,4,4
04/05/2021,Blue3,clumsy,231.3660851,6941,,,,Blue3,look_away,look_away,4
04/05/2021,Blue3,clumsy,236.7327383,7102,,,,Blue3,look_away,look_away,4
04/05/2021,Blue3,clumsy,243.2660552,7298,248.1327096,7444,4.866654433,Blue3,sitting_laying_down,sitting_down,4
12/05/2021,Josi,clumsy,74.3332146,2230,110.1331574,3304,35.79994281,Josi,trial,1,1
12/05/2021,Josi,clumsy,152.2664234,4568,196.599686,5898,44.33326252,Josi,trial,2,2
12/05/2021,Josi,clumsy,237.7662869,7133,272.6662311,8180,34.89994425,Josi,trial,3,3
12/05/2021,Josi,clumsy,315.7994956,9474,347.0661123,10412,31.26661672,Josi,trial,4,4
05/05/2021,Jurij,teasing,178.033089,5341,207.0663825,6212,29.03329348,Jurij,trial,1,1
05/05/2021,Jurij,teasing,190.2664055,5708,202.6330552,6079,12.36664969,Jurij,sitting_laying_down,sitting_down,1
