id,Scoring,Start,Start_Frame,Stop,Stop_Frame,duration,Subject,Behaviour,Value,trial
1587,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,318.0164696,19081,348.983117,20939,30.9666474,Adderley,trial,1,1
1588,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,332.5997938,19956,340.0664559,20404,7.4666621,Adderley,sitting_laying_down,sitting_down,1
1589,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,342.2997878,20538,344.7497863,20685,2.4499985,Adderley,misc,lateral_approach,1
1590,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,348.449784,20907,350.7331159,21044,2.2833319,Adderley,sitting_laying_down,front_down,1
1591,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,360.1831101,21611,392.7330899,23564,32.5499798,Adderley,trial,2,2
1592,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,368.5831049,22115,391.6830906,23501,23.0999857,Adderley,sitting_laying_down,laying_down,2
1593,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,404.4497493,24267,435.5163967,26131,31.0666474,Adderley,trial,3,3
1594,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,404.6664158,24280,434.5663973,26074,29.8999815,Adderley,sitting_laying_down,laying_down,3
1595,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,449.1997216,26952,480.3330356,28820,31.133314,Adderley,trial,4,4
1596,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,449.7830545,26987,477.6997039,28662,27.9166494,Adderley,sitting_laying_down,laying_down,4
1597,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,515.816347,30949,546.1663281,32770,30.3499811,Adderley,trial,5,5
1598,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,557.2663213,33436,589.382968,35363,32.1166467,Adderley,trial,6,6
1599,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,600.5162945,36031,633.4162741,38005,32.8999796,Adderley,trial,7,7
1600,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,644.6829337,38681,677.4995801,40650,32.8166464,Adderley,trial,8,8
1601,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,707.0162284,42421,737.5495429,44253,30.5333145,Adderley,trial,9,9
1602,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,708.8495606,42531,736.5328768,44192,27.6833162,Adderley,sitting_laying_down,laying_down,9
1603,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,748.8495358,44931,777.6661847,46660,28.8166489,Adderley,sitting_laying_down,laying_down,10
1604,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,748.8495358,44931,778.5161841,46711,29.6666483,Adderley,trial,10,10
1605,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,793.3995082,47604,823.1494898,49389,29.7499816,Adderley,sitting_laying_down,laying_down,11
1606,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,793.3995082,47604,823.1494898,49389,29.7499816,Adderley,trial,11,11
1607,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,839.4494797,50367,864.0994644,51846,24.6499847,Adderley,sitting_laying_down,laying_down,12
1608,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,839.4494797,50367,868.8327948,52130,29.3833151,Adderley,trial,12,12
1609,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,903.0494403,54183,936.6494194,56199,33.5999791,Adderley,trial,13,13
1610,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,948.7494119,56925,980.5827255,58835,31.8333136,Adderley,trial,14,14
1611,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,994.6660502,59680,1028.749362,61725,34.0833118,Adderley,trial,15,15
1612,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,1035.816025,62149,1070.63267,64238,34.816645,Adderley,trial,16,16
1613,unwilling_unable_2021-11-28_13-06-54_intoscience2_adderley,1176.549271,70593,1178.432603,70706,1.883332,Adderley,preference_test_durations,unwilling,16
1710,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,323.9166055,19435,381.5832613,22895,57.6666558,Akito,trial,1,1
1711,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,340.9499356,20457,342.6499353,20559,1.6999997,Akito,misc,lateral_approach,1
1712,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,410.7165891,24643,449.8999151,26994,39.183326,Akito,trial,2,2
1713,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,458.1832469,27491,485.4332417,29126,27.2499948,Akito,trial,3,3
1714,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,473.5832439,28415,481.4499091,28887,7.8666652,Akito,misc,lateral_approach,3
1715,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,493.6999068,29622,524.5832343,31475,30.8833275,Akito,trial,4,4
1716,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,504.1832382,30251,509.7332371,30584,5.5499989,Akito,time_away,walk_away,4
1717,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,588.9165555,35335,619.2832164,37157,30.3666609,Akito,trial,5,5
1718,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,633.5498804,38013,665.0665411,39904,31.5166607,Akito,trial,6,6
1719,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,680.4498716,40827,713.366532,42802,32.9166604,Akito,trial,7,7
1720,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,724.6165299,43477,757.1498571,45429,32.5333272,Akito,trial,8,8
1721,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,804.5498481,48273,835.0665091,50104,30.516661,Akito,trial,9,9
1722,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,850.3665062,51022,882.0498335,52923,31.6833273,Akito,trial,10,10
1723,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,893.8998313,53634,926.7664917,55606,32.8666604,Akito,trial,11,11
1724,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,936.1998233,56172,968.4664839,58108,32.2666606,Akito,trial,12,12
1725,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,950.8664872,57052,953.89982,57234,3.0333328,Akito,misc,lateral_approach,12
1726,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,1007.516477,60451,1040.333137,62420,32.81666,Akito,trial,13,13
1727,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,1052.216468,63133,1083.449796,65007,31.233328,Akito,trial,14,14
1728,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,1093.36646,65602,1125.366454,67522,31.999994,Akito,trial,15,15
1729,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,1136.133119,68168,1166.616446,69997,30.483327,Akito,trial,16,16
1730,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,1278.166425,76690,1279.666425,76780,1.5,Akito,preference_test_durations,unable,16
1731,unwilling_unable_2021-11-07_13-02-02_intoscience2_akito,1280.599758,76836,1283.049758,76983,2.45,Akito,preference_test_durations,unwilling,16
865,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,389.5833333,23375,418.6666667,25120,29.0833334,Amarie,trial,1,1
867,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,389.9666667,23398,395.6666667,23740,5.7,Amarie,misc,lateral_approach,1
866,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,389.9666667,23398,395.6666667,23740,5.7,Amarie,time_away,walk_away,1
868,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,409.8166667,24589,412.2666667,24736,2.45,Amarie,misc,pawing,1
869,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,435.9833333,26159,465.9833333,27959,30,Amarie,trial,2,2
870,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,439.8833333,26393,441.1333333,26468,1.25,Amarie,misc,pawing,2
871,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,457.15,27429,465.9833333,27959,8.8333333,Amarie,time_away,walk_away,2
872,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,463.85,27831,465.9833333,27959,2.1333333,Amarie,misc,lateral_approach,2
875,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,500.05,30003,528.35,31701,28.3,Amarie,trial,3,3
874,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,500.05,30003,501.5666667,30094,1.5166667,Amarie,misc,lateral_approach,3
873,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,500.05,30003,501.5666667,30094,1.5166667,Amarie,time_away,walk_away,3
876,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,516.6666667,31000,528.35,31701,11.6833333,Amarie,time_away,walk_away,3
877,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,549.75,32985,583.0833333,34985,33.3333333,Amarie,trial,4,4
878,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,556.8833333,33413,559.0666667,33544,2.1833334,Amarie,misc,pawing,4
879,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,572.1,34326,583.0833333,34985,10.9833333,Amarie,time_away,walk_away,4
882,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,620.1666667,37210,649.7,38982,29.5333333,Amarie,trial,5,5
881,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,620.1666667,37210,628.25,37695,8.0833333,Amarie,misc,lateral_approach,5
880,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,620.1666667,37210,649.7,38982,29.5333333,Amarie,time_away,walk_away,5
883,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,668.85,40131,700.8166667,42049,31.9666667,Amarie,trial,6,6
884,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,674.15,40449,680,40800,5.85,Amarie,misc,pawing,6
885,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,681.9666667,40918,700.8166667,42049,18.85,Amarie,time_away,walk_away,6
886,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,765,45900,796.8,47808,31.8,Amarie,trial,7,7
887,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,769.7666667,46186,796.8,47808,27.0333333,Amarie,time_away,walk_away,7
888,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,807.5833333,48455,837.2666667,50236,29.6833334,Amarie,trial,8,8
889,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,813.0833333,48785,837.2666667,50236,24.1833334,Amarie,time_away,walk_away,8
890,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,872.95,52377,900.8833333,54053,27.9333333,Amarie,trial,9,9
891,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,879.5666667,52774,900.8833333,54053,21.3166666,Amarie,time_away,walk_away,9
892,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,925.8166667,55549,958.2666667,57496,32.45,Amarie,trial,10,10
893,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,933.15,55989,955.4666667,57328,22.3166667,Amarie,time_away,walk_away,10
894,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,939.1833333,56351,952.6333333,57158,13.45,Amarie,misc,lateral_approach,10
895,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,981.1,58866,1030.433333,61826,49.333333,Amarie,trial,11,11
896,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,986.9,59214,1030.433333,61826,43.533333,Amarie,time_away,walk_away,11
897,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1009.8,60588,1030.433333,61826,20.633333,Amarie,sitting_laying_down,sitting_down,11
898,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1047.833333,62870,1075.683333,64541,27.85,Amarie,trial,12,12
899,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1052.5,63150,1075.683333,64541,23.183333,Amarie,time_away,walk_away,12
900,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1106.683333,66401,1137.433333,68246,30.75,Amarie,trial,13,13
901,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1108.683333,66521,1137.433333,68246,28.75,Amarie,time_away,walk_away,13
902,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1160.766667,69646,1190.066667,71404,29.3,Amarie,trial,14,14
903,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1163.6,69816,1186.633333,71198,23.033333,Amarie,time_away,walk_away,14
904,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1187.216667,71233,1190.066667,71404,2.85,Amarie,sitting_laying_down,sitting_down,14
905,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1201.65,72099,1231.166667,73870,29.516667,Amarie,trial,15,15
906,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1204.216667,72253,1221.833333,73310,17.616666,Amarie,time_away,walk_away,15
907,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1226.266667,73576,1231.166667,73870,4.9,Amarie,time_away,walk_away,15
908,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1251,75060,1280.55,76833,29.55,Amarie,trial,16,16
909,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1253.666667,75220,1280.55,76833,26.883333,Amarie,time_away,walk_away,16
910,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1331.516667,79891,1333.85,80031,2.333333,Amarie,preference_test_durations,unwilling,16
911,unwilling_unable_2021-11-26_13-55-48_intoscience2_amarie,1365.966667,81958,1368.15,82089,2.183333,Amarie,preference_test_durations,unwilling,16
1971,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,418.0833333,25085,450.2333333,27014,32.15,Amy15a,trial,1,1
1972,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,428.1333333,25688,447.7,26862,19.5666667,Amy15a,time_away,walk_away,1
1973,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,460.95,27657,493.15,29589,32.2,Amy15a,trial,2,2
1974,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,470.8666667,28252,491.2166667,29473,20.35,Amy15a,time_away,walk_away,2
1975,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,542.6166667,32557,575.05,34503,32.4333333,Amy15a,trial,3,3
1976,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,553.85,33231,573,34380,19.15,Amy15a,time_away,walk_away,3
1977,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,615.05,36903,646.9833333,38819,31.9333333,Amy15a,trial,4,4
1978,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,623.5,37410,645.4166667,38725,21.9166667,Amy15a,time_away,walk_away,4
1979,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,697.3666667,41842,730.7,43842,33.3333333,Amy15a,trial,5,5
1980,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,765.7,45942,798.7333333,47924,33.0333333,Amy15a,trial,6,6
1981,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,784.2666667,47056,796.65,47799,12.3833333,Amy15a,time_away,walk_away,6
1982,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,828.0833333,49685,864.3166667,51859,36.2333334,Amy15a,trial,7,7
1983,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,841.5166667,50491,859.6166667,51577,18.1,Amy15a,time_away,walk_away,7
1984,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,893.6166667,53617,929.1333333,55748,35.5166666,Amy15a,trial,8,8
1985,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,911.75,54705,927.5,55650,15.75,Amy15a,time_away,walk_away,8
1986,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,968.05,58083,1008.85,60531,40.8,Amy15a,trial,9,9
1987,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,977.0833333,58625,1004.1,60246,27.0166667,Amy15a,time_away,walk_away,9
1988,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1025.25,61515,1063.75,63825,38.5,Amy15a,trial,10,10
1989,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1032.266667,61936,1055.866667,63352,23.6,Amy15a,time_away,walk_away,10
1990,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1071.4,64284,1101.616667,66097,30.216667,Amy15a,trial,11,11
1991,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1076.783333,64607,1095.166667,65710,18.383334,Amy15a,time_away,walk_away,11
1992,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1121.333333,67280,1156.183333,69371,34.85,Amy15a,trial,12,12
1993,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1127.783333,67667,1153.266667,69196,25.483334,Amy15a,time_away,walk_away,12
1994,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1195.083333,71705,1228.683333,73721,33.6,Amy15a,trial,13,13
1995,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1248.483333,74909,1287.216667,77233,38.733334,Amy15a,trial,14,14
1996,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1253.65,75219,1282.416667,76945,28.766667,Amy15a,time_away,walk_away,14
1997,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1308.566667,78514,1343.116667,80587,34.55,Amy15a,trial,15,15
1998,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1325.35,79521,1341.333333,80480,15.983333,Amy15a,time_away,walk_away,15
1999,unwilling_unable_2021-11-14_10-48-17_intoscience2_Amy15a,1369.383333,82163,1402.033333,84122,32.65,Amy15a,trial,16,16
0,unwilling_unable_2021-11-28_13-36-26_intoscience2_amy21,338.6665429,20320,372.2498639,22335,33.583321,Amy21,trial,1,1
1,unwilling_unable_2021-11-28_13-36-26_intoscience2_amy21,349.5332056,20972,350.3832053,21023,0.8499997,Amy21,time_away,walk_away,1
