,Subject,birth_date,subj.id,sex,age_years,test date,age,first_demo,first_condition,first_exp_id,second_demo,second_condition,second_exp_id,unable_experimenter,unwilling_experimenter
1,Cojoe,31.10.2016,subj.01,m,5,06.11.2021,60,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS
2,Finne-Failbhe,12.12.2019,subj.02,f,2,06.11.2021,22,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF
3,Bärli,30.03.2015,subj.03,m,6,06.11.2021,79,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF
4,Panda,19.04.2019,subj.04,f,2,07.11.2021,30,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF
5,Django2,24.06.2015,subj.05,m,6,07.11.2021,76,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF
6,Adderley,04.03.2019,subj.06,m,2,28.11.2021,32,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF
7,Lilly11,09.01.2017,subj.07,f,4,07.11.2021,57,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF
8,Akito,17.06.2013,subj.08,m,8,07.11.2021,100,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG
9,Balu5,14.08.2019,subj.09,m,2,28.11.2021,27,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF
10,Toffee3,19.02.2014,subj.10,f,7,07.11.2021,92,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS
11,Ivy3,01.02.2012,subj.11,f,9,07.11.2021,117,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG
12,Riu,28.03.2018,subj.12,f,3,10.11.2021,43,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS
13,Maya3,,subj.13,f,7,12.11.2021,90,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS
14,Anthony,17.09.2013,subj.14,m,8,12.11.2021,97,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS
15,Amy15a,01.01.2008,subj.15,f,13,14.11.2021,166,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG
16,Mona4,01.06.2015,subj.16,f,6,14.11.2021,77,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG
17,Ilvi,14.05.2015,subj.17,f,6,14.11.2021,78,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG
18,Cara3,01.08.2014,subj.18,f,7,14.11.2021,87,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS
19,Zuri,17.11.2009,subj.19,f,12,14.11.2021,143,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS
20,Luna34,30.06.2012,subj.20,f,9,14.11.2021,112,A_KG,unable,KG,B_CF,unwilling,CF,KG,CF
21,Samba2,06.06.2017,subj.21,m,4,28.11.2021,53,B_MS,unwilling,MS,A_KG,unable,KG,KG,MS
22,Yuna,27.09.2015,subj.22,f,6,14.11.2021,73,A_MS,unable,MS,B_KG,unwilling,KG,MS,KG
23,Aron7,30.11.2018,subj.23,m,3,15.11.2021,35,B_MS,unwilling,MS,A_KG,unable,KG,KG,MS
24,Apryl,24.03.2009,subj.24,f,12,15.11.2021,151,A_MS,unable,MS,B_KG,unwilling,KG,MS,KG
25,Ronja4,06.06.2011,subj.25,f,10,15.11.2021,125,A_MS,unable,MS,B_KG,unwilling,KG,MS,KG
26,Cliff,09.06.2014,subj.26,m,7,15.11.2021,89,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG
27,Tini2,01.07.2009,subj.27,f,12,15.11.2021,148,A_KG,unable,KG,B_CF,unwilling,CF,KG,CF
28,Tenya,13.03.2016,subj.28,f,5,15.11.2021,68,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS
29,Xsarah,25.11.2011,subj.29,f,10,28.11.2021,120,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG
30,Arko2,17.04.2014,subj.30,m,7,18.11.2021,91,B_MS,unwilling,MS,A_KG,unable,KG,KG,MS
