"","Subject","trial","Value","Behaviour","sum_duration","X","birth_date","subject","sex","age_years","test.date","age","first_demo","first_condition","first_exp_id","second_demo","second_condition","second_exp_id","unable_experimenter","unwilling_experimenter","condition","block"
"1","Adderley",1,"1","trial",30.9666474,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"2","Adderley",1,"10",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"3","Adderley",1,"11",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"4","Adderley",1,"12",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"5","Adderley",1,"13",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"6","Adderley",1,"14",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"7","Adderley",1,"15",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"8","Adderley",1,"16",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"9","Adderley",1,"2",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"10","Adderley",1,"3",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"11","Adderley",1,"4",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"12","Adderley",1,"5",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"13","Adderley",1,"6",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"14","Adderley",1,"7",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"15","Adderley",1,"8",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"16","Adderley",1,"9",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"17","Adderley",1,"front_down","sitting_laying_down",2.2833319,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"18","Adderley",1,"lateral_approach","misc",2.4499985,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"19","Adderley",1,"rest","sitting_laying_down",7.4666621,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"20","Adderley",1,"pawing",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"21","Adderley",1,"unable",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"22","Adderley",1,"unwilling",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"23","Adderley",1,"walk_away",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"24","Adderley",2,"1",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"25","Adderley",2,"10",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"26","Adderley",2,"11",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
