,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,178.16642212767036,5345,207.06638246156936,6212.0,Jurij,trial,1,,,,False,,0.3556930857789313,0.41338923271444733,3,1390,0,1060,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5063,#79edf3,5056
1,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,190.3664053828111,5711,202.53305535036952,6076.0,Jurij,sitting_laying_down,sitting_down,,,,False,,0.38004924469288615,0.40433885672456243,3,1390,0,1060,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5069,#cff379,5057
2,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,194.8663992064286,5846,,,Jurij,look_away,look_away,,,,True,,0.38903307380049246,0.38903307380049246,3,1390,0,1060,LOOPY_scoring_event_nonsocial,Nonsocial Event,5076,#79d4f3,5060
3,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,203.4997206902577,6105,,,Jurij,look_away,look_away,,,,True,,0.4062687163106408,0.4062687163106408,3,1390,0,1060,LOOPY_scoring_event_nonsocial,Nonsocial Event,5076,#79d4f3,5060
4,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,204.66638575564002,6140,207.06638246156936,6212.0,Jurij,time_away,walk_away,,,,False,,0.40859785719039066,0.41338923271444733,3,1390,0,1060,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5072,#f3ac79,5058
5,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,271.932960096826,8158,303.8995828883013,9117.0,Jurij,trial,2,,,,False,,0.5428894656285354,0.6067079257336794,3,1390,0,1060,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5064,#f3d579,5056
6,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,282.5329455480138,8476,,,Jurij,look_away,look_away,,,,True,,0.564051374193119,0.564051374193119,3,1390,0,1060,LOOPY_scoring_event_nonsocial,Nonsocial Event,5076,#79d4f3,5060
7,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,286.5662733454784,8597,303.8995828883013,9117.0,Jurij,sitting_laying_down,sitting_down,,,,False,,0.5721035469488255,0.6067079257336794,3,1390,0,1060,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5069,#cff379,5057
8,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,290.5329345677783,8716,,,Jurij,look_away,look_away,,,,True,,0.5800226259399747,0.5800226259399747,3,1390,0,1060,LOOPY_scoring_event_nonsocial,Nonsocial Event,5076,#79d4f3,5060
9,UnwillingUnable_2021-05-05_MS_Jurij_teasing_11-33-49,346.2328581178881,10387,377.4328152949694,11323.0,Jurij,trial,3,,,,False,,0.6912224662274572,0.7535103480401943,3,1390,0,1060,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,5065,#b179f3,5056
