date,condition,Start,Start_Frame,Stop,Stop_Frame,duration,subject,Behaviour,Value,trial
05/05/2021,teasing,178.1664221,5345,207.0663825,6212,28.89996033,Jurij,trial,1,1
05/05/2021,teasing,190.3664054,5711,202.5330554,6076,12.16664997,Jurij,sitting_laying_down,sitting_down,1
05/05/2021,teasing,194.8663992,5846,,,,Jurij,look_away,look_away,1
05/05/2021,teasing,203.4997207,6105,,,,Jurij,look_away,look_away,1
05/05/2021,teasing,204.6663858,6140,207.0663825,6212,2.399996706,Jurij,time_away,walk_away,1
05/05/2021,teasing,271.9329601,8158,303.8995829,9117,31.96662279,Jurij,trial,2,2
05/05/2021,teasing,282.5329455,8476,,,,Jurij,look_away,look_away,2
05/05/2021,teasing,286.5662733,8597,303.8995829,9117,17.33330954,Jurij,sitting_laying_down,sitting_down,2
05/05/2021,teasing,290.5329346,8716,,,,Jurij,look_away,look_away,2
05/05/2021,teasing,346.2328581,10387,377.4328153,11323,31.19995718,Jurij,trial,3,3
05/05/2021,teasing,358.0328419,10741,,,,Jurij,look_away,look_away,3
05/05/2021,teasing,361.2661708,10838,,,,Jurij,look_away,look_away,3
05/05/2021,teasing,365.7328314,10972,,,,Jurij,look_away,look_away,3
05/05/2021,teasing,367.6994953,11031,377.4328153,11323,9.733319974,Jurij,time_away,walk_away,3
05/05/2021,teasing,422.1994205,12666,454.9327089,13648,32.73328841,Jurij,trial,4,4
05/05/2021,teasing,434.1327375,13024,454.9327089,13648,20.79997145,Jurij,sitting_laying_down,sitting_down,4
05/05/2021,teasing,434.8660698,13046,,,,Jurij,look_away,look_away,4
05/05/2021,blocked,52.59990481,1578,82.16651797,2465,29.56661316,Jurij,trial,1,1
05/05/2021,blocked,70.16653969,2105,82.16651797,2465,11.99997828,Jurij,sitting_laying_down,sitting_down,1
05/05/2021,blocked,136.7997524,4104,170.1330254,5104,33.33327301,Jurij,trial,2,2
05/05/2021,blocked,158.7997126,4764,170.1330254,5104,11.33331282,Jurij,sitting_laying_down,sitting_down,2
05/05/2021,blocked,214.1329458,6424,243.2995597,7299,29.16661388,Jurij,trial,3,3
05/05/2021,blocked,295.466132,8864,327.9660731,9839,32.49994119,Jurij,trial,4,4
05/05/2021,clumsy,51.73333333,1552,82.83333333,2485,31.1,Jurij,trial,1,1
05/05/2021,clumsy,125.3,3759,159.8,4794,34.5,Jurij,trial,2,2
05/05/2021,clumsy,209.9,6297,240.0666667,7202,30.16666667,Jurij,trial,3,3
05/05/2021,clumsy,280.3666667,8411,314.2333333,9427,33.86666667,Jurij,trial,4,4
05/05/2021,clumsy,296.9,8907,,,,Jurij,look_away,look_away,4
03/05/2021,teasing,61.76654527,1853,88.69982567,2661,26.9332804,Charly5,trial,1,1
03/05/2021,teasing,80.83317446,2425,,,,Charly5,look_away,look_away,1
03/05/2021,teasing,85.39983215,2562,88.33315972,2650,2.933327568,Charly5,misc,pawing,1
03/05/2021,teasing,128.4664142,3854,160.3663515,4811,31.8999373,Charly5,trial,2,2
03/05/2021,teasing,134.1330697,4024,136.5997315,4098,2.466661819,Charly5,misc,pawing,2
03/05/2021,teasing,196.4329473,5893,229.0328832,6871,32.59993593,Charly5,trial,3,3
03/05/2021,teasing,204.0995989,6123,206.4662609,6194,2.366662015,Charly5,misc,pawing,3
03/05/2021,teasing,215.5995763,6468,219.3995688,6582,3.799992531,Charly5,misc,pawing,3
03/05/2021,teasing,224.2328926,6727,226.6662212,6800,2.433328551,Charly5,misc,pawing,3
03/05/2021,teasing,268.0328065,8041,303.2327374,9097,35.19993082,Charly5,trial,4,4
03/05/2021,teasing,290.866095,8726,294.232755,8827,3.36666005,Charly5,time_away,walk_away,4
03/05/2021,clumsy,47.99999717,1440,79.06666201,2372,31.06666484,Charly5,trial,1,1
03/05/2021,clumsy,71.73332911,2152,73.86666232,2216,2.133333208,Charly5,misc,pawing,1
03/05/2021,clumsy,74.96666225,2249,76.09999552,2283,1.133333267,Charly5,misc,pawing,1
03/05/2021,clumsy,142.4999916,4275,174.9999897,5250,32.49999809,Charly5,trial,2,2
03/05/2021,clumsy,159.5333239,4786,162.6333238,4879,3.099999817,Charly5,misc,pawing,2
03/05/2021,clumsy,225.8999867,6777,264.2333178,7927,38.33333108,Charly5,trial,3,3
03/05/2021,clumsy,237.8666527,7136,239.6666525,7190,1.799999894,Charly5,misc,pawing,3
03/05/2021,clumsy,240.0666525,7202,241.2333191,7237,1.166666598,Charly5,misc,pawing,3
03/05/2021,clumsy,299.666649,8990,328.9999806,9870,29.33333161,Charly5,trial,4,4
03/05/2021,clumsy,307.2333152,9217,309.1666485,9275,1.933333219,Charly5,misc,pawing,4
03/05/2021,clumsy,313.4333149,9403,315.8999814,9477,2.466666521,Charly5,misc,pawing,4
03/05/2021,clumsy,320.7333144,9622,322.199981,9666,1.46666658,Charly5,misc,pawing,4
03/05/2021,blocked,60.03326997,1801,90.89990406,2727,30.86663409,Charly5,trial,1,1
03/05/2021,blocked,64.06659905,1922,67.49992876,2025,3.43332971,Charly5,misc,pawing,1
03/05/2021,blocked,69.09992707,2073,72.1665905,2165,3.06666343,Charly5,misc,pawing,1
03/05/2021,blocked,76.79991894,2304,79.93324897,2398,3.133330026,Charly5,misc,pawing,1
03/05/2021,blocked,145.6331796,4369,179.0664777,5372,33.43329805,Charly5,trial,2,2
03/05/2021,blocked,148.8331763,4465,150.7331742,4522,1.899997995,Charly5,misc,pawing,2
03/05/2021,blocked,156.7998345,4704,159.0331655,4771,2.233330976,Charly5,misc,pawing,2
03/05/2021,blocked,163.6664939,4910,166.3998244,4992,2.733330448,Charly5,misc,pawing,2
03/05/2021,blocked,209.1331126,6274,241.3330786,7240,32.19996602,Charly5,trial,3,3
03/05/2021,blocked,212.2331093,6367,213.2331083,6397,0.999998945,Charly5,misc,pawing,3
03/05/2021,blocked,218.233103,6547,221.5330995,6646,3.299996517,Charly5,misc,pawing,3
03/05/2021,blocked,239.0997476,7173,241.3330786,7240,2.233330976,Charly5,misc,pawing,3
03/05/2021,blocked,265.3663866,7961,302.2663476,9068,36.89996105,Charly5,trial,4,4
03/05/2021,blocked,294.9663554,8849,298.5330183,8956,3.566662902,Charly5,misc,pawing,4
04/05/2021,blocked,40.59990711,1218,74.83316213,2245,34.23325501,Kiwi,trial,1,1
04/05/2021,blocked,59.43319736,1783,59.89986296,1797,0.466665599,Kiwi,sitting_laying_down,sitting_down,1
04/05/2021,blocked,65.5331834,1966,66.26651506,1988,0.733331656,Kiwi,sitting_laying_down,sitting_down,1
04/05/2021,blocked,105.5997584,3168,136.3663547,4091,30.76659628,Kiwi,trial,2,2
04/05/2021,blocked,108.9997506,3270,109.566416,3287,0.56666537,Kiwi,sitting_laying_down,front_down,2
04/05/2021,blocked,117.1663986,3515,117.4330647,3523,0.266666057,Kiwi,misc,pawing,2
04/05/2021,blocked,119.9997255,3600,120.0330587,3601,0.033333257,Kiwi,sitting_laying_down,front_down,2
04/05/2021,blocked,119.9997255,3600,120.3663913,3611,0.366665828,Kiwi,misc,pawing,2
04/05/2021,blocked,123.6663837,3710,125.4663796,3764,1.799995882,Kiwi,sitting_laying_down,sitting_down,2
04/05/2021,blocked,128.1997067,3846,130.7997007,3924,2.599994052,Kiwi,time_away,walk_away,2
04/05/2021,blocked,128.1997067,3846,130.7997007,3924,2.599994052,Kiwi,misc,lateral_approach,2
04/05/2021,blocked,173.6662693,5210,201.2328729,6037,27.5666036,Kiwi,trial,3,3
04/05/2021,blocked,176.5662627,5297,179.1662568,5375,2.599994052,Kiwi,time_away,walk_away,3
04/05/2021,blocked,176.5662627,5297,179.1662568,5375,2.599994052,Kiwi,misc,lateral_approach,3
04/05/2021,blocked,184.1329121,5524,190.7995635,5724,6.666651414,Kiwi,time_away,walk_away,3
04/05/2021,blocked,184.1329121,5524,190.7995635,5724,6.666651414,Kiwi,misc,lateral_approach,3
04/05/2021,blocked,200.2662085,6008,201.2328729,6037,0.966664455,Kiwi,time_away,walk_away,3
04/05/2021,blocked,200.2662085,6008,201.2328729,6037,0.966664455,Kiwi,misc,lateral_approach,3
04/05/2021,blocked,247.532767,7426,278.7326956,8362,31.19992862,Kiwi,trial,4,4
04/05/2021,blocked,257.0327453,7711,259.9660719,7799,2.933326622,Kiwi,time_away,walk_away,4
04/05/2021,blocked,257.0327453,7711,259.9660719,7799,2.933326622,Kiwi,misc,lateral_approach,4
04/05/2021,blocked,273.6660406,8210,276.5993672,8298,2.933326622,Kiwi,sitting_laying_down,sitting_down,4
04/05/2021,blocked,273.6660406,8210,276.5993672,8298,2.933326622,Kiwi,time_away,walk_away,4
04/05/2021,clumsy,46.83332963,1405,81.73332687,2452,34.89999724,Kiwi,trial,1,1
04/05/2021,clumsy,104.5999917,3138,137.3999891,4122,32.79999741,Kiwi,trial,2,2
04/05/2021,clumsy,158.6999875,4761,190.4333183,5713,31.73333083,Kiwi,trial,3,3
04/05/2021,clumsy,211.8333166,6355,244.733314,7342,32.8999974,Kiwi,trial,4,4
04/05/2021,clumsy,231.633315,6949,231.7999817,6954,0.166666653,Kiwi,sitting_laying_down,front_down,4
04/05/2021,clumsy,243.8999807,7317,244.733314,7342,0.833333267,Kiwi,time_away,walk_away,4
04/05/2021,clumsy,243.8999807,7317,244.733314,7342,0.833333267,Kiwi,misc,lateral_approach,4
04/05/2021,teasing,47.63327178,1429,82.1332272,2464,34.49995542,Kiwi,trial,1,1
04/05/2021,teasing,76.9999005,2310,77.3332334,2320,0.333332903,Kiwi,time_away,walk_away,1
04/05/2021,teasing,78.99989791,2370,79.43323068,2383,0.433332773,Kiwi,time_away,walk_away,1
04/05/2021,teasing,81.06656191,2432,82.1332272,2464,1.066665288,Kiwi,time_away,walk_away,1
04/05/2021,teasing,113.6331865,3409,144.0664805,4322,30.43329401,Kiwi,trial,2,2
04/05/2021,teasing,134.2664932,4028,135.5998248,4068,1.33333161,Kiwi,misc,pawing,2
04/05/2021,teasing,169.2664479,5078,200.8664071,6026,31.59995916,Kiwi,trial,3,3
04/05/2021,teasing,187.6997574,5631,188.3664232,5651,0.666665805,Kiwi,sitting_laying_down,front_down,3
04/05/2021,teasing,189.9664212,5699,191.2330862,5737,1.26666503,Kiwi,misc,pawing,3
04/05/2021,teasing,195.0664146,5852,197.0330787,5911,1.966664125,Kiwi,misc,pawing,3
04/05/2021,teasing,223.5330445,6706,253.4996724,7605,29.96662794,Kiwi,trial,4,4
04/05/2021,teasing,232.3330331,6970,236.6330275,7099,4.299994443,Kiwi,time_away,walk_away,4
04/05/2021,teasing,245.3663496,7361,250.7663426,7523,5.399993022,Kiwi,time_away,walk_away,4
04/05/2021,teasing,251.8663412,7556,251.9996743,7560,0.133333161,Kiwi,sitting_laying_down,front_down,4
04/05/2021,teasing,252.2330074,7567,253.4996724,7605,1.26666503,Kiwi,time_away,walk_away,4
04/05/2021,teasing,252.3663405,7571,253.4996724,7605,1.133331869,Kiwi,sitting_laying_down,sitting_down,4
04/05/2021,teasing,30.26666667,908,64.56666667,1937,34.3,Blue3,trial,1,1
04/05/2021,teasing,37.4,1122,45.63333333,1369,8.233333333,Blue3,sitting_laying_down,sitting_down,1
04/05/2021,teasing,45.63333333,1369,64.56666667,1937,18.93333333,Blue3,sitting_laying_down,laying_down,1
04/05/2021,teasing,87.9,2637,120.9,3627,33,Blue3,trial,2,2
04/05/2021,teasing,98.76666667,2963,,,,Blue3,look_away,look_away,2
04/05/2021,teasing,99.33333333,2980,110,3300,10.66666667,Blue3,time_away,walk_away,2
04/05/2021,teasing,111,3330,,,,Blue3,look_away,look_away,2
04/05/2021,teasing,111.2,3336,120.9,3627,9.7,Blue3,time_away,walk_away,2
04/05/2021,teasing,144.3,4329,177.7,5331,33.4,Blue3,trial,3,3
04/05/2021,teasing,149.7333333,4492,177.7,5331,27.96666667,Blue3,sitting_laying_down,sitting_down,3
04/05/2021,teasing,164.9666667,4949,177.7,5331,12.73333333,Blue3,time_away,walk_away,3
04/05/2021,teasing,175.2333333,5257,,,,Blue3,look_away,look_away,3
04/05/2021,teasing,199.4333333,5983,232.4333333,6973,33,Blue3,trial,4,4
