subject,condition,trial,Value,sum_duration,subjectID,block,sex,date.of.birth,breed,test.date,age,sound.problem,trial_duration,prop.duration,vocalisation
Abby2,blocked,1,vocalisation,0,dog_11,2,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,33.63325131,0,0
Abby2,blocked,2,vocalisation,0,dog_11,2,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,34.79991513,0,0
Abby2,blocked,3,vocalisation,0,dog_11,2,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,36.19991172,0,0
Abby2,blocked,4,vocalisation,0,dog_11,2,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,35.79991269,0,0
Abby2,clumsy,1,vocalisation,0,dog_11,1,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,32.09999768,0,0
Abby2,clumsy,2,vocalisation,0,dog_11,1,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,42.26666361,0,0
Abby2,clumsy,3,vocalisation,0,dog_11,1,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,32.96666428,0,0
Abby2,clumsy,4,vocalisation,0,dog_11,1,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,32.39999766,0,0
Abby2,teasing,1,vocalisation,0,dog_11,3,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,29.86666476,0,0
Abby2,teasing,2,vocalisation,0,dog_11,3,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,29.39999813,0,0
Abby2,teasing,3,vocalisation,0,dog_11,3,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,30.96666469,0,0
Abby2,teasing,4,vocalisation,0,dog_11,3,F,01/01/2015,Mix (Shepherd),06/05/2021,76,no,29.86666476,0,0
Allegro2,blocked,1,vocalisation,0,dog_20,3,M,17/05/2013,Border Collie,13/05/2021,95,no,39.29999749,0,0
Allegro2,blocked,2,vocalisation,0,dog_20,3,M,17/05/2013,Border Collie,13/05/2021,95,no,32.33333127,0,0
Allegro2,blocked,3,vocalisation,0,dog_20,3,M,17/05/2013,Border Collie,13/05/2021,95,no,30.56666471,0,0
Allegro2,blocked,4,vocalisation,0,dog_20,3,M,17/05/2013,Border Collie,13/05/2021,95,no,32.3666646,0,0
Allegro2,clumsy,1,vocalisation,0,dog_20,1,M,17/05/2013,Border Collie,13/05/2021,95,no,37.03333333,0,0
Allegro2,clumsy,2,vocalisation,0,dog_20,1,M,17/05/2013,Border Collie,13/05/2021,95,no,33.73333333,0,0
Allegro2,clumsy,3,vocalisation,0,dog_20,1,M,17/05/2013,Border Collie,13/05/2021,95,no,32.86666667,0,0
